id,gasmetallicity,gasmetallicityhalfrad,mass,halfmassrad,mass_gas,halfmassrad_gas,mass_dm,halfmassrad_dm,mass_stars,halfmassrad_stars,sfr,sfrinhalfrad,spin_x,spin_y,spin_z,starrmetallicity,starmetallicityhalfrad
377969,0.0298894,0.0363475,159.893,87.2817,3.91421,26.9506,151.578,92.3127,4.39947,11.0089,3.00435,2.67541,633.526,4192.62,-3485.38,0.0200216,0.0224537
180490,0.0411136,0.0510499,69.8773,46.1608,2.35729,12.7251,63.121,51.7565,4.39739,5.8541,4.65618,3.11691,-344.479,339.711,492.935,0.0260939,0.0276802
346817,0.0268288,0.0360661,88.0796,57.4168,5.33247,20.3112,78.357,65.3692,4.38943,10.9991,7.61205,5.73753,-2486.68,405.333,38.3062,0.0195879,0.0215805
386037,0.0334091,0.0436952,145.107,90.7192,3.48005,23.1665,137.234,95.2031,4.38913,5.1047,6.33672,3.10299,-240.324,1096.85,440.912,0.0248189,0.0274408
402033,0.0321346,0.0383681,109.97,67.2875,3.16177,22.9536,102.417,73.0902,4.38903,7.8191,4.89545,4.11959,455.645,-1017.24,-414.837,0.0206327,0.0232391
403642,0.0386602,0.0448135,105.383,73.3853,2.22725,29.256,98.7652,79.5877,4.38771,6.5077,2.01263,1.29894,631.028,420.499,512.392,0.022438,0.0252315
165894,0.0540619,0.0596829,16.013,11.4038,0.222778,4.102,11.4029,13.8797,4.38061,5.1731,0.470469,0.470469,-262.298,247.766,-162.936,0.0300865,0.0359894
402572,0.0293586,0.0505956,122.056,76.7583,3.03453,14.0066,114.64,82.0177,4.37706,7.561,4.27023,0.899408,-1841.71,1699.52,-770.23,0.0212557,0.0241113
59397,0.0733019,0.0734766,18.4248,9.5324,0.000951,3.2772,14.0412,11.0906,4.37335,4.3215,0,0,-73.4476,113.454,3.36591,0.0268803,0.0305731
401663,0.0311299,0.0453212,118.178,66.7816,4.8125,17.4872,108.99,73.2176,4.37273,7.1659,8.21638,3.773,-1319.51,1712.5,-92.6697,0.0225661,0.0256988
425853,0.0375863,0.0597093,74.9517,47.0368,3.34783,12.7282,67.2327,54.135,4.3694,5.7822,6.62564,1.60626,193.242,117.321,-83.0509,0.0270899,0.0305856
226997,0.0506131,0.0602583,44.3128,33.3809,1.25033,24.902,38.694,38.1843,4.36613,3.8085,3.6591,3.65797,-202.15,146.316,221.209,0.0306107,0.0356524
416039,0.0367451,0.0533106,81.5892,51.7405,3.34796,19.9496,73.8744,58.1922,4.36407,6.1048,5.18787,0.274823,-1113.93,533.848,-624.165,0.0248271,0.024907
374531,0.0291696,0.040438,185.506,83.138,5.13291,25.1407,176.001,87.1206,4.36137,6.5909,3.4589,0.389742,-332.899,11.4175,-2187.91,0.0196564,0.0218043
431918,0.0367815,0.0461051,62.3332,38.1705,3.22333,13.4324,54.7532,45.3333,4.35511,6.0205,7.92338,2.68771,328.805,-119.509,461.222,0.0272234,0.0264489
436127,0.0288514,0.0394647,51.6037,31.0984,4.22361,17.4961,43.0306,38.62,4.34899,8.0247,8.41738,4.41436,-55.3912,852.534,-197.092,0.0257875,0.0267751
397062,0.0379548,0.0582093,130.548,85.9969,2.32055,24.502,123.88,90.8051,4.34484,5.0642,2.26356,1.05438,-928.784,-653.117,-1187.77,0.0265703,0.0295509
270384,0.041512,0.0531504,8.18498,3.4951,0.158965,5.0284,3.66782,4.1116,4.34135,2.9957,0.315059,0.256161,124.68,-163.433,89.6913,0.0306446,0.0347602
296796,0.0360691,0.0497091,53.3796,29.3846,0.731776,10.7954,48.2962,31.9303,4.34119,6.0218,0.454078,0.305442,231.291,-673.959,326.232,0.0216485,0.0242786
404138,0.0308587,0.0398224,81.7095,53.4639,3.58929,16.2519,73.7823,60.1205,4.33616,6.4866,6.56794,4.91064,-329.101,847.171,298.925,0.0248009,0.0275277
374189,0.040068,0.0536064,134.337,70.5895,2.83343,27.573,127.165,74.6841,4.33263,5.8068,4.10475,2.20639,1065.46,-355.951,144.809,0.0258786,0.0291763
430808,0.0635005,0.0702421,76.7058,50.6329,0.189321,4.7355,72.1774,54.4025,4.33207,5.0524,0.264329,0.256833,416.452,793.081,-507.932,0.0263024,0.0291534
226998,0.0409385,0.0529722,36.7697,22.5287,0.755241,6.9247,31.6824,26.4583,4.32932,5.838,2.01523,1.67171,-425.315,379.722,-35.1039,0.0259546,0.0299026
390346,0.0332288,0.0480091,118.311,67.7905,3.96826,17.4793,110.01,72.6639,4.32871,7.2655,6.47023,3.08738,-750.707,-566.194,-233.727,0.0233645,0.0269346
262552,0.0340097,0.0434533,55.6387,35.0934,1.23226,10.8056,50.0753,38.9919,4.32739,6.4991,1.69981,1.34095,1037.93,-456.635,461.842,0.0222932,0.0257827
352520,0.0513232,0.0585655,136.779,102.965,0.859576,194.788,131.586,107.393,4.32546,4.3589,0.0861785,0.0861785,3292.74,-776.297,-2532.44,0.0262717,0.0299886
86199,0.0594924,0.0637219,31.7075,17.0257,0.205596,3.2252,27.1791,19.6989,4.31874,4.7535,0.688793,0.688793,-126.223,117.432,343.442,0.0283109,0.0332396
384398,0.0331982,0.0512382,146.525,92.1564,2.42822,19.641,139.776,96.6627,4.31531,5.5923,1.66015,0.591676,2097.47,-475.891,-1127.14,0.0227835,0.0257686
362307,0.0325707,0.0415577,205.024,114.105,4.02408,62.2958,196.683,116.979,4.31284,7.1052,2.88282,1.77128,4919.67,-327.348,-2494.94,0.0234044,0.0252415
361088,0.0256186,0.0372991,136.498,96.4644,6.58788,32.6876,125.596,105.238,4.31137,8.7471,4.00085,2.33438,-350.101,2054.56,-823.526,0.0194089,0.0215405
404257,0.0221956,0.0267467,95.0341,57.6719,7.88229,26.7994,82.8396,65.4722,4.31104,10.2582,8.31374,4.5971,933.948,302.352,-1666.05,0.0195025,0.0200907
424512,0.0309868,0.0373365,72.0947,45.9066,4.37539,22.0451,63.408,54.2113,4.3101,7.0386,6.55886,4.3157,370.155,480.006,529.443,0.0242057,0.0250983
379655,0.0219515,0.0264771,149.222,99.905,2.85908,18.7604,142.048,104.525,4.3077,9.2052,3.33125,3.15813,227.125,-2897.92,-375.576,0.017427,0.0195981
391347,0.0323907,0.0422013,132.428,79.5925,4.26817,27.4081,123.852,86.5467,4.30409,7.401,6.55903,2.61367,-1296.41,988.771,535.278,0.0224841,0.022872
414546,0.0230068,0.0297575,84.1226,46.2387,6.34873,21.046,73.4688,53.9863,4.30398,13.4697,7.25134,4.82851,-291.696,-1774.21,-715.274,0.0184028,0.0207896
